,open,high,low,close,volume
2022-03-28 09:30:00,57.01,57.01,57.0,57.01,73
2022-03-28 09:31:00,57.02,57.02,56.43,56.43,8
2022-03-28 09:32:00,56.57,56.94,56.46,56.89,30
2022-03-28 09:33:00,56.46,56.73,56.46,56.73,2
2022-03-28 09:34:00,56.76,56.76,56.54,56.54,2
2022-03-28 09:35:00,56.76,56.77,56.51,56.51,3
2022-03-28 09:36:00,56.51,56.93,56.51,56.93,10
2022-03-28 09:37:00,57.09,57.36,56.84,57.36,15
2022-03-28 09:38:00,57.01,57.24,57.01,57.22,25
2022-03-28 09:39:00,57.34,57.34,57.21,57.3,11
2022-03-28 09:40:00,57.07,57.23,57.01,57.02,10
2022-03-28 09:41:00,56.86,57.18,56.86,57.18,4
2022-03-28 09:42:00,57.35,57.35,57.05,57.06,6
2022-03-28 09:43:00,57.34,57.51,57.33,57.33,19
2022-03-28 09:44:00,57.32,57.47,57.31,57.47,4
2022-03-28 09:45:00,57.34,57.47,57.33,57.47,3
2022-03-28 09:46:00,57.15,57.3,57.15,57.3,9
2022-03-28 09:47:00,57.3,57.3,57.3,57.3,0
2022-03-28 09:48:00,57.26,57.26,57.26,57.26,2
2022-03-28 09:49:00,57.08,57.23,57.08,57.23,4
2022-03-28 09:50:00,57.14,57.14,57.05,57.05,2
2022-03-28 09:51:00,57.05,57.05,57.05,57.05,0
2022-03-28 09:52:00,57.29,57.3,57.15,57.15,4
2022-03-28 09:53:00,57.25,57.25,57.13,57.15,7
2022-03-28 09:54:00,57.3,57.64,57.29,57.49,33
2022-03-28 09:55:00,57.46,57.82,57.46,57.82,18
2022-03-28 09:56:00,57.7,57.99,57.7,57.84,36
2022-03-28 09:57:00,57.85,58.0,57.77,57.85,51
2022-03-28 09:58:00,57.72,57.88,57.72,57.88,9
2022-03-28 09:59:00,57.88,57.88,57.88,57.88,0
2022-03-28 10:00:00,57.75,57.91,57.58,57.59,26
2022-03-28 10:01:00,57.44,57.49,57.23,57.49,14
2022-03-28 10:02:00,57.49,57.51,57.44,57.44,5
2022-03-28 10:03:00,57.37,57.49,57.37,57.49,9
2022-03-28 10:04:00,57.41,57.55,57.41,57.55,2
2022-03-28 10:05:00,57.68,57.68,57.68,57.68,1
2022-03-28 10:06:00,57.68,57.68,57.68,57.68,0
2022-03-28 10:07:00,58.0,58.0,57.96,57.96,6
2022-03-28 10:08:00,58.06,58.11,58.06,58.11,3
2022-03-28 10:09:00,58.12,58.12,57.64,57.64,30
2022-03-28 10:10:00,57.59,57.59,57.5,57.5,3
2022-03-28 10:11:00,57.57,57.67,57.57,57.57,3
2022-03-28 10:12:00,57.71,57.71,57.65,57.65,5
2022-03-28 10:13:00,57.65,57.65,57.65,57.65,0
2022-03-28 10:14:00,57.71,57.71,57.7,57.71,4
2022-03-28 10:15:00,57.68,57.73,57.57,57.73,10
2022-03-28 10:16:00,57.8,57.8,57.51,57.51,3
2022-03-28 10:17:00,57.57,57.57,57.56,57.57,3
2022-03-28 10:18:00,57.57,57.57,57.57,57.57,0
2022-03-28 10:19:00,57.57,57.57,57.57,57.57,0
2022-03-28 10:20:00,57.41,57.41,57.41,57.41,1
2022-03-28 10:21:00,57.28,57.29,57.28,57.28,5
2022-03-28 10:22:00,57.28,57.28,57.28,57.28,0
2022-03-28 10:23:00,57.19,57.24,57.18,57.23,2
2022-03-28 10:24:00,57.23,57.23,57.23,57.23,0
2022-03-28 10:25:00,57.11,57.3,56.95,57.3,62
2022-03-28 10:26:00,57.1,57.2,57.02,57.06,7
2022-03-28 10:27:00,57.02,57.02,57.01,57.02,1
2022-03-28 10:28:00,57.1,57.14,56.95,57.07,11
2022-03-28 10:29:00,57.07,57.07,57.07,57.07,0
2022-03-28 10:30:00,57.08,57.11,56.94,56.96,9
2022-03-28 10:31:00,56.98,56.98,56.88,56.88,3
